"caso_ano","caso_anomes","caso_mes","qtd_casos","bairro","regiao","zona","area","area_grupo","bairro_ha","bairro_pop2010","ciclo_mes","ciclo","ciclo_parte","ciclo_num"
2002,200201,1,1684,"(Não informado)","(Não informado)","(Não informado)","(NI)","(NI)",0,0,6,"ciclo2002","predicao",2002
2002,200202,2,2265,"(Não informado)","(Não informado)","(Não informado)","(NI)","(NI)",0,0,7,"ciclo2002","predicao",2002
2002,200203,3,1934,"(Não informado)","(Não informado)","(Não informado)","(NI)","(NI)",0,0,8,"ciclo2002","predicao",2002
2002,200204,4,352,"(Não informado)","(Não informado)","(Não informado)","(NI)","(NI)",0,0,9,"ciclo2002","predicao",2002
2002,200205,5,77,"(Não informado)","(Não informado)","(Não informado)","(NI)","(NI)",0,0,10,"ciclo2002","predicao",2002
2002,200206,6,6,"(Não informado)","(Não informado)","(Não informado)","(NI)","(NI)",0,0,11,"ciclo2002","predicao",2002
2002,200207,7,8,"(Não informado)","(Não informado)","(Não informado)","(NI)","(NI)",0,0,12,"ciclo2002","predicao",2002
2002,200201,1,192,"Saúde","I RA - Portuária","Centro","AP 1","AG 1",36.38,2749,6,"ciclo2002","predicao",2002
2002,200202,2,127,"Saúde","I RA - Portuária","Centro","AP 1","AG 1",36.38,2749,7,"ciclo2002","predicao",2002
2002,200203,3,106,"Saúde","I RA - Portuária","Centro","AP 1","AG 1",36.38,2749,8,"ciclo2002","predicao",2002
2002,200204,4,26,"Saúde","I RA - Portuária","Centro","AP 1","AG 1",36.38,2749,9,"ciclo2002","predicao",2002
2002,200205,5,2,"Saúde","I RA - Portuária","Centro","AP 1","AG 1",36.38,2749,10,"ciclo2002","predicao",2002
2002,200206,6,1,"Saúde","I RA - Portuária","Centro","AP 1","AG 1",36.38,2749,11,"ciclo2002","predicao",2002
2002,200207,7,0,"Saúde","I RA - Portuária","Centro","AP 1","AG 1",36.38,2749,12,"ciclo2002","predicao",2002
2002,200201,1,15,"Gamboa","I RA - Portuária","Centro","AP 1","AG 1",111.29,13108,6,"ciclo2002","predicao",2002
2002,200202,2,7,"Gamboa","I RA - Portuária","Centro","AP 1","AG 1",111.29,13108,7,"ciclo2002","predicao",2002
